"COUNTRY1","COUNTRY2","time","naive","obs","reich","ones","reich_ub","reich_lb"
"Belgium","Iran",1,NA,NA,NA,1,NA,NA
"Belgium","Iran",2,NA,NA,NA,1,NA,NA
"Belgium","Iran",3,NA,NA,NA,1,NA,NA
"Belgium","Iran",4,NA,NA,NA,1,NA,NA
"Belgium","Iran",5,NA,NA,NA,1,NA,NA
"Belgium","Iran",6,NA,NA,NA,1,NA,NA
"Belgium","Iran",7,NA,NA,NA,1,NA,NA
"Belgium","Iran",8,NA,NA,NA,1,NA,NA
"Belgium","Iran",9,NA,NA,NA,1,NA,NA
"Belgium","Iran",10,NA,NA,NA,1,NA,NA
"Belgium","Iran",11,NA,NA,NA,1,NA,NA
"Belgium","Iran",12,NA,NA,NA,1,NA,NA
"Belgium","Iran",13,NA,NA,NA,1,NA,NA
"Belgium","Iran",14,NA,NA,NA,1,NA,NA
"Belgium","Iran",15,NA,NA,NA,1,NA,NA
"Belgium","Iran",16,NA,NA,NA,1,NA,NA
"Belgium","Iran",17,NA,NA,NA,1,NA,NA
"Belgium","Iran",18,NA,NA,NA,1,NA,NA
"Belgium","Iran",19,NA,NA,NA,1,NA,NA
"Belgium","Iran",20,NA,NA,NA,1,NA,NA
"Belgium","Iran",21,NA,NA,NA,1,NA,NA
"Belgium","Iran",22,NA,NA,NA,1,NA,NA
"Belgium","Iran",23,NA,NA,NA,1,NA,NA
"Belgium","Iran",24,NA,NA,NA,1,NA,NA
"Belgium","Iran",25,NA,NA,NA,1,NA,NA
"Belgium","Iran",26,NA,NA,NA,1,NA,NA
"Belgium","Iran",27,NA,NA,NA,1,NA,NA
"Belgium","Iran",28,NA,NA,NA,1,NA,NA
"Belgium","Iran",29,NA,NA,NA,1,NA,NA
"Belgium","Iran",30,NA,NA,NA,1,NA,NA
"Belgium","Iran",31,NA,NA,NA,1,NA,NA
"Belgium","Iran",32,NA,NA,NA,1,NA,NA
"Belgium","Iran",33,NA,NA,NA,1,NA,NA
"Belgium","Iran",34,NA,NA,NA,1,NA,NA
"Belgium","Iran",35,NA,NA,NA,1,NA,NA
"Belgium","Iran",36,NA,NA,NA,1,NA,NA
"Belgium","Iran",37,NA,NA,NA,1,NA,NA
"Belgium","Iran",38,NA,NA,NA,1,NA,NA
"Belgium","Iran",39,NA,NA,NA,1,NA,NA
"Belgium","Iran",40,NA,NA,NA,1,NA,NA
"Belgium","Iran",41,NA,NA,NA,1,NA,NA
"Belgium","Iran",42,NA,NA,NA,1,NA,NA
"Belgium","Iran",43,NA,NA,NA,1,NA,NA
"Belgium","Iran",44,NA,NA,NA,1,NA,NA
"Belgium","Iran",45,NA,NA,NA,1,NA,NA
"Belgium","Iran",46,NA,NA,NA,1,NA,NA
"Belgium","Iran",47,NA,NA,NA,1,NA,NA
"Belgium","Iran",48,NA,NA,NA,1,NA,NA
"Belgium","Iran",49,NA,NA,NA,1,NA,NA
"Belgium","Iran",50,NA,NA,NA,1,NA,NA
"Belgium","Iran",51,NA,NA,NA,1,NA,NA
"Belgium","Iran",52,NA,NA,NA,1,NA,NA
"Belgium","Iran",53,NA,NA,NA,1,NA,NA
"Belgium","Iran",54,NA,NA,NA,1,NA,NA
"Belgium","Iran",55,NA,NA,NA,1,NA,NA
"Belgium","Iran",56,NA,NA,NA,1,NA,NA
"Belgium","Iran",57,NA,NA,NA,1,NA,NA
"Belgium","Iran",58,NA,NA,NA,1,NA,NA
"Belgium","Iran",59,NA,NA,NA,1,NA,NA
"Belgium","Iran",60,NA,NA,NA,1,NA,NA
"Belgium","Iran",61,NA,NA,NA,1,NA,NA
"Belgium","Iran",62,NA,NA,NA,1,NA,NA
"Belgium","Iran",63,NA,NA,NA,1,NA,NA
"Belgium","Iran",64,NA,NA,NA,1,NA,NA
"Belgium","Iran",65,NA,NA,NA,1,NA,NA
"Belgium","Iran",66,NA,NA,NA,1,NA,NA
"Belgium","Iran",67,NA,NA,NA,1,NA,NA
"Belgium","Iran",68,NA,NA,NA,1,NA,NA
"Belgium","Iran",69,NA,NA,NA,1,NA,NA
"Belgium","Iran",70,1.08,0.59,1.59,1,4.5,0.39
"Belgium","Iran",71,0.95,0.55,0.61,1,1.09,0.34
"Belgium","Iran",72,0.91,0.55,0.62,1,1.04,0.3
"Belgium","Iran",73,0.89,0.53,0.6,1,0.96,0.25
"Belgium","Iran",74,0.84,0.55,0.6,1,0.96,0.31
"Belgium","Iran",75,0.79,0.46,0.61,1,0.94,0.42
"Belgium","Iran",76,0.67,0.38,0.56,1,0.78,0.43
"Belgium","Iran",77,0.65,0.36,0.55,1,0.76,0.46
"Belgium","Iran",78,0.61,0.34,0.53,1,0.71,0.41
"Belgium","Iran",79,0.55,0.3,0.46,1,0.61,0.36
"Belgium","Iran",80,0.52,0.26,0.44,1,0.58,0.34
"Belgium","Iran",81,0.51,0.26,0.43,1,0.58,0.33
"Belgium","Iran",82,0.49,0.25,0.4,1,0.55,0.32
"Belgium","Iran",83,0.47,0.24,0.39,1,0.52,0.32
"Belgium","Iran",84,0.47,0.23,0.39,1,0.49,0.31
"Belgium","Iran",85,0.45,0.22,0.36,1,0.45,0.28
"Belgium","Iran",86,0.44,0.21,0.35,1,0.44,0.27
