"COUNTRY1","COUNTRY2","time","naive","obs","reich","ones","reich_ub","reich_lb"
"Germany","Switzerland",1,NA,NA,NA,1,NA,NA
"Germany","Switzerland",2,NA,NA,NA,1,NA,NA
"Germany","Switzerland",3,NA,NA,NA,1,NA,NA
"Germany","Switzerland",4,NA,NA,NA,1,NA,NA
"Germany","Switzerland",5,NA,NA,NA,1,NA,NA
"Germany","Switzerland",6,NA,NA,NA,1,NA,NA
"Germany","Switzerland",7,NA,NA,NA,1,NA,NA
"Germany","Switzerland",8,NA,NA,NA,1,NA,NA
"Germany","Switzerland",9,NA,NA,NA,1,NA,NA
"Germany","Switzerland",10,NA,NA,NA,1,NA,NA
"Germany","Switzerland",11,NA,NA,NA,1,NA,NA
"Germany","Switzerland",12,NA,NA,NA,1,NA,NA
"Germany","Switzerland",13,NA,NA,NA,1,NA,NA
"Germany","Switzerland",14,NA,NA,NA,1,NA,NA
"Germany","Switzerland",15,NA,NA,NA,1,NA,NA
"Germany","Switzerland",16,NA,NA,NA,1,NA,NA
"Germany","Switzerland",17,NA,NA,NA,1,NA,NA
"Germany","Switzerland",18,NA,NA,NA,1,NA,NA
"Germany","Switzerland",19,NA,NA,NA,1,NA,NA
"Germany","Switzerland",20,NA,NA,NA,1,NA,NA
"Germany","Switzerland",21,NA,NA,NA,1,NA,NA
"Germany","Switzerland",22,NA,NA,NA,1,NA,NA
"Germany","Switzerland",23,NA,NA,NA,1,NA,NA
"Germany","Switzerland",24,NA,NA,NA,1,NA,NA
"Germany","Switzerland",25,NA,NA,NA,1,NA,NA
"Germany","Switzerland",26,NA,NA,NA,1,NA,NA
"Germany","Switzerland",27,NA,NA,NA,1,NA,NA
"Germany","Switzerland",28,NA,NA,NA,1,NA,NA
"Germany","Switzerland",29,NA,NA,NA,1,NA,NA
"Germany","Switzerland",30,NA,NA,NA,1,NA,NA
"Germany","Switzerland",31,NA,NA,NA,1,NA,NA
"Germany","Switzerland",32,NA,NA,NA,1,NA,NA
"Germany","Switzerland",33,NA,NA,NA,1,NA,NA
"Germany","Switzerland",34,NA,NA,NA,1,NA,NA
"Germany","Switzerland",35,NA,NA,NA,1,NA,NA
"Germany","Switzerland",36,NA,NA,NA,1,NA,NA
"Germany","Switzerland",37,NA,NA,NA,1,NA,NA
"Germany","Switzerland",38,NA,NA,NA,1,NA,NA
"Germany","Switzerland",39,NA,NA,NA,1,NA,NA
"Germany","Switzerland",40,NA,NA,NA,1,NA,NA
"Germany","Switzerland",41,NA,NA,NA,1,NA,NA
"Germany","Switzerland",42,NA,NA,NA,1,NA,NA
"Germany","Switzerland",43,NA,NA,NA,1,NA,NA
"Germany","Switzerland",44,NA,NA,NA,1,NA,NA
"Germany","Switzerland",45,NA,NA,NA,1,NA,NA
"Germany","Switzerland",46,NA,NA,NA,1,NA,NA
"Germany","Switzerland",47,NA,NA,NA,1,NA,NA
"Germany","Switzerland",48,NA,NA,NA,1,NA,NA
"Germany","Switzerland",49,NA,NA,NA,1,NA,NA
"Germany","Switzerland",50,NA,NA,NA,1,NA,NA
"Germany","Switzerland",51,NA,NA,NA,1,NA,NA
"Germany","Switzerland",52,NA,NA,NA,1,NA,NA
"Germany","Switzerland",53,NA,NA,NA,1,NA,NA
"Germany","Switzerland",54,NA,NA,NA,1,NA,NA
"Germany","Switzerland",55,NA,NA,NA,1,NA,NA
"Germany","Switzerland",56,NA,NA,NA,1,NA,NA
"Germany","Switzerland",57,NA,NA,NA,1,NA,NA
"Germany","Switzerland",58,NA,NA,NA,1,NA,NA
"Germany","Switzerland",59,NA,NA,NA,1,NA,NA
"Germany","Switzerland",60,NA,NA,NA,1,NA,NA
"Germany","Switzerland",61,NA,NA,NA,1,NA,NA
"Germany","Switzerland",62,NA,NA,NA,1,NA,NA
"Germany","Switzerland",63,NA,NA,NA,1,NA,NA
"Germany","Switzerland",64,NA,NA,NA,1,NA,NA
"Germany","Switzerland",65,NA,NA,NA,1,NA,NA
"Germany","Switzerland",66,NA,NA,NA,1,NA,NA
"Germany","Switzerland",67,NA,NA,NA,1,NA,NA
"Germany","Switzerland",68,NA,NA,NA,1,NA,NA
"Germany","Switzerland",69,NA,NA,NA,1,NA,NA
"Germany","Switzerland",70,NA,NA,NA,1,NA,NA
"Germany","Switzerland",71,NA,NA,NA,1,NA,NA
"Germany","Switzerland",72,2.16,2.2,0.56,1,0.97,0.37
"Germany","Switzerland",73,2.16,1.81,0.6,1,1.04,0.42
"Germany","Switzerland",74,2.14,1.92,0.62,1,1.05,0.42
"Germany","Switzerland",75,2.02,1.46,0.66,1,1.08,0.44
"Germany","Switzerland",76,1.97,1.63,0.7,1,1.08,0.44
"Germany","Switzerland",77,1.85,1.73,0.79,1,1.14,0.49
"Germany","Switzerland",78,1.79,1.73,0.8,1,1.1,0.47
"Germany","Switzerland",79,1.8,1.7,0.82,1,1.11,0.5
"Germany","Switzerland",80,1.88,1.73,0.84,1,1.13,0.53
"Germany","Switzerland",81,1.84,1.68,0.93,1,1.25,0.6
"Germany","Switzerland",82,1.8,1.62,0.91,1,1.23,0.62
"Germany","Switzerland",83,1.81,1.71,0.92,1,1.24,0.64
"Germany","Switzerland",84,1.67,1.5,1,1,1.33,0.71
"Germany","Switzerland",85,1.63,1.49,0.85,1,1.23,0.59
"Germany","Switzerland",86,1.59,1.5,0.88,1,1.23,0.62
