"COUNTRY1","COUNTRY2","time","naive","obs","reich","ones","reich_ub","reich_lb"
"Italy","United Kingdom",1,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",2,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",3,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",4,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",5,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",6,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",7,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",8,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",9,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",10,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",11,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",12,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",13,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",14,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",15,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",16,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",17,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",18,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",19,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",20,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",21,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",22,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",23,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",24,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",25,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",26,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",27,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",28,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",29,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",30,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",31,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",32,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",33,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",34,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",35,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",36,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",37,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",38,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",39,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",40,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",41,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",42,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",43,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",44,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",45,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",46,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",47,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",48,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",49,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",50,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",51,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",52,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",53,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",54,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",55,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",56,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",57,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",58,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",59,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",60,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",61,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",62,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",63,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",64,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",65,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",66,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",67,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",68,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",69,NA,NA,NA,1,NA,NA
"Italy","United Kingdom",70,0.66,2.12,0.45,1,0.54,0.31
"Italy","United Kingdom",71,0.71,2.17,0.46,1,0.55,0.34
"Italy","United Kingdom",72,0.76,2.22,0.49,1,0.58,0.39
"Italy","United Kingdom",73,0.83,2.25,0.53,1,0.63,0.43
"Italy","United Kingdom",74,0.83,2.27,0.53,1,0.69,0.46
"Italy","United Kingdom",75,0.83,2.26,0.53,1,0.72,0.49
"Italy","United Kingdom",76,0.87,2.3,0.57,1,0.78,0.56
"Italy","United Kingdom",77,0.91,2.38,0.62,1,0.8,0.62
"Italy","United Kingdom",78,0.95,2.45,0.68,1,0.81,0.68
"Italy","United Kingdom",79,0.94,2.45,0.71,1,0.77,0.71
"Italy","United Kingdom",80,0.97,2.51,0.78,1,0.88,0.78
"Italy","United Kingdom",81,0.98,2.57,0.78,1,0.88,0.78
"Italy","United Kingdom",82,0.99,2.66,0.78,1,0.89,0.67
"Italy","United Kingdom",83,0.99,2.69,0.75,1,0.91,0.61
"Italy","United Kingdom",84,0.99,2.68,0.73,1,0.93,0.58
"Italy","United Kingdom",85,1.01,2.74,0.72,1,0.95,0.58
"Italy","United Kingdom",86,1.01,2.8,0.68,1,0.94,0.58
