"COUNTRY1","COUNTRY2","time","naive","obs","reich","ones","reich_ub","reich_lb"
"Korea, South","Switzerland",1,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",2,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",3,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",4,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",5,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",6,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",7,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",8,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",9,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",10,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",11,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",12,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",13,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",14,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",15,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",16,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",17,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",18,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",19,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",20,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",21,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",22,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",23,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",24,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",25,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",26,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",27,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",28,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",29,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",30,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",31,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",32,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",33,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",34,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",35,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",36,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",37,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",38,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",39,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",40,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",41,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",42,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",43,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",44,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",45,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",46,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",47,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",48,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",49,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",50,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",51,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",52,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",53,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",54,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",55,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",56,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",57,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",58,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",59,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",60,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",61,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",62,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",63,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",64,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",65,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",66,NA,NA,NA,1,NA,NA
"Korea, South","Switzerland",67,NA,NA,NA,1,NA,NA
