"COUNTRY1","COUNTRY2","time","naive","obs","reich","ones"
"Turkey","Iran",1,NA,NA,NA,1
"Turkey","Iran",2,NA,NA,NA,1
"Turkey","Iran",3,NA,NA,NA,1
"Turkey","Iran",4,NA,NA,NA,1
"Turkey","Iran",5,NA,NA,NA,1
"Turkey","Iran",6,NA,NA,NA,1
"Turkey","Iran",7,NA,NA,NA,1
"Turkey","Iran",8,NA,NA,NA,1
"Turkey","Iran",9,NA,NA,NA,1
"Turkey","Iran",10,NA,NA,NA,1
"Turkey","Iran",11,NA,NA,NA,1
"Turkey","Iran",12,NA,NA,NA,1
"Turkey","Iran",13,NA,NA,NA,1
"Turkey","Iran",14,NA,NA,NA,1
"Turkey","Iran",15,NA,NA,NA,1
"Turkey","Iran",16,NA,NA,NA,1
"Turkey","Iran",17,NA,NA,NA,1
"Turkey","Iran",18,NA,NA,NA,1
"Turkey","Iran",19,NA,NA,NA,1
"Turkey","Iran",20,NA,NA,NA,1
"Turkey","Iran",21,NA,NA,NA,1
"Turkey","Iran",22,NA,NA,NA,1
"Turkey","Iran",23,NA,NA,NA,1
"Turkey","Iran",24,NA,NA,NA,1
"Turkey","Iran",25,NA,NA,NA,1
"Turkey","Iran",26,NA,NA,NA,1
"Turkey","Iran",27,NA,NA,NA,1
"Turkey","Iran",28,NA,NA,NA,1
"Turkey","Iran",29,NA,NA,NA,1
"Turkey","Iran",30,NA,NA,NA,1
"Turkey","Iran",31,NA,NA,NA,1
"Turkey","Iran",32,NA,NA,NA,1
"Turkey","Iran",33,NA,NA,NA,1
"Turkey","Iran",34,NA,NA,NA,1
"Turkey","Iran",35,NA,NA,NA,1
"Turkey","Iran",36,NA,NA,NA,1
"Turkey","Iran",37,NA,NA,NA,1
"Turkey","Iran",38,NA,NA,NA,1
"Turkey","Iran",39,NA,NA,NA,1
"Turkey","Iran",40,NA,NA,NA,1
"Turkey","Iran",41,NA,NA,NA,1
"Turkey","Iran",42,NA,NA,NA,1
"Turkey","Iran",43,NA,NA,NA,1
"Turkey","Iran",44,NA,NA,NA,1
"Turkey","Iran",45,NA,NA,NA,1
"Turkey","Iran",46,NA,NA,NA,1
"Turkey","Iran",47,NA,NA,NA,1
"Turkey","Iran",48,NA,NA,NA,1
"Turkey","Iran",49,NA,NA,NA,1
"Turkey","Iran",50,NA,NA,NA,1
"Turkey","Iran",51,NA,NA,NA,1
"Turkey","Iran",52,NA,NA,NA,1
"Turkey","Iran",53,NA,NA,NA,1
"Turkey","Iran",54,NA,NA,NA,1
"Turkey","Iran",55,NA,NA,NA,1
"Turkey","Iran",56,NA,NA,NA,1
"Turkey","Iran",57,NA,NA,NA,1
"Turkey","Iran",58,NA,NA,NA,1
"Turkey","Iran",59,NA,NA,NA,1
"Turkey","Iran",60,NA,NA,NA,1
"Turkey","Iran",61,NA,NA,NA,1
"Turkey","Iran",62,NA,NA,NA,1
"Turkey","Iran",63,NA,NA,NA,1
"Turkey","Iran",64,NA,NA,NA,1
"Turkey","Iran",65,NA,NA,NA,1
"Turkey","Iran",66,NA,NA,NA,1
"Turkey","Iran",67,NA,NA,NA,1
"Turkey","Iran",68,NA,NA,NA,1
"Turkey","Iran",69,NA,NA,NA,1
"Turkey","Iran",70,NA,NA,NA,1
"Turkey","Iran",71,NA,NA,NA,1
"Turkey","Iran",72,NA,NA,NA,1
"Turkey","Iran",73,NA,NA,NA,1
"Turkey","Iran",74,NA,NA,NA,1
"Turkey","Iran",75,NA,NA,NA,1
"Turkey","Iran",76,NA,NA,NA,1
"Turkey","Iran",77,NA,NA,NA,1
"Turkey","Iran",78,NA,NA,NA,1
"Turkey","Iran",79,NA,NA,NA,1
"Turkey","Iran",80,2.95,0.35,10.64,1
"Turkey","Iran",81,2.97,0.36,10.13,1
"Turkey","Iran",82,2.95,0.37,5.41,1
"Turkey","Iran",83,2.9,0.39,4.96,1
"Turkey","Iran",84,2.86,0.41,4.65,1
"Turkey","Iran",85,2.82,0.45,6.54,1
"Turkey","Iran",86,2.77,0.49,4.39,1
